CodCanton;NombreCanton;CodProvincia;CodTurismo
0101;Cuenca;01;1
0102;Giron;01;8
0103;Gualaceo;01;1
0104;Nabón;01;12
0105;Paute;01;5
0106;Pucará;01;15
0107;San Fernando;01;11
0108;Santa Isabel;01;15
0109;Sigsig;01;15
0110;Oña;01;2
0111;Chordeleg;01;13
0112;El Pan;01;6
0113;Sevilla de Oro;01;2
0114;Guachapala;01;4
0115;Camilo Ponce Enriquez;01;6
0201;Guaranda;02;1
0202;Chillanes;02;6
0203;Chimbo;02;6
0204;Echeandia;02;2
0205;San Miguel;02;12
0206;Caluma;02;10
0207;Las Naves;02;8
0301;Azogues;03;12
0302;Biblian;03;11
0303;Cañar;03;1
0304;La Troncal;03;6
0305;El Tambo;03;5
0306;Deleg;03;8
0307;Suscal;03;3
0401;Tulcán ;04;1
0402;Bolivar;04;5
0403;Espejo;04;13
0404;Mira;04;15
0405;Montufar;04;14
0406;San Pedro de Huaca;04;5
0501;Latacunga;05;12
0502;La Maná;05;2
0503;Pangua;05;10
0504;Pujilí;05;8
0505;Salcedo;05;12
0506;Saquisili;05;3
0507;Sigchos;05;2
0601;Riobamba;06;12
0602;Alausí;06;11
0603;Colta;06;1
0604;Chambo;06;10
0605;Chunchi;06;13
0606;Guamote;06;6
0607;Guano;06;3
0608;Pallatanga;06;15
0609;Penipe;06;14
0610;Cumandá;06;2
0701;Machala;07;11
0702;Arenillas;07;11
0703;Atahualpa;07;3
0704;Balsas;07;11
0705;Chilla ;07;1
0706;El Guabo;07;13
0707;Huaquillas;07;9
0708;Marcabelí;07;14
0709;Pasaje;07;7
0710;Piñas;07;1
0711;Portovelo;07;1
0712;Santa Rosa;07;4
0713;Zaruma;07;1
0714;Las Lajas;07;14
0801;Esmeraldas;08;2
0802;Eloy Alfaro;08;7
0803;Muisne;08;6
0804;Quinindé;08;5
0805;San Lorenzo;08;6
0806;Atacames;08;2
0807;Rioverde;08;7
0901;Guayaquil;09;1
0902;Alfredo Baquerizo Moreno;09;5
0903;Balao;09;7
0904;Balzar;09;3
0905;Colimes;09;9
0906;Daule;09;2
0907;Durán;09;2
0908;El Empalme;09;2
0909;El Triunfo;09;6
0910;Milagro;09;3
0911;Naranjal;09;4
0912;Naranjito;09;13
0913;Palestina;09;8
0914;Pedro Carbo;09;6
0916;Samborondón;09;2
0918;Santa Lucía;09;13
0919;Salitre;09;2
0920;San Jacinto de Yaguachi;09;2
0921;Playas;09;2
0922;Simón Bolívar;09;11
0923;Coronel Marcelino Maridueña;09;1
0924;Lomas de Sargentillo;09;8
0925;Nobol;09;2
0927;General Antonio Elizalde;09;5
0928;Isidro Ayora;09;15
1001;Ibarra;10;10
1002;Antonio Ante;10;5
1003;Cotacachi;10;8
1004;Otavalo;10;1
1005;Pimampiro;10;6
1006;San Miguel de Urcuqui;10;14
1101;Loja;11;9
1102;Calvas;11;10
1103;Catamayo;11;1
1104;Celica;11;3
1105;Chaguarpamba;11;1
1106;Espíndola;11;15
1107;Gonzanamá;11;1
1108;Macará;11;1
1109;Paltas;11;1
1110;Puyango;11;12
1111;Saraguro;11;1
1112;Sozoranga;11;1
1113;Zapotillo;11;1
1114;Pindal;11;14
1115;Quilanga;11;2
1116;Olmedo;11;1
1201;Babahoyo;12;1
1202;Baba ;12;8
1203;Montalvo;12;2
1204;Puebloviejo;12;13
1205;Quevedo;12;11
1206;Urdaneta;12;1
1207;Ventanas;12;2
1208;Vinces;12;10
1209;Palanque;12;12
1210;Buena Fe;12;1
1211;Valencia;12;4
1212;Mocache;12;11
1213;Quinsaloma;12;4
1301;Portoviejo;13;14
1302;Bolívar;13;13
1303;Chone;13;6
1304;El Carmen;13;8
1305;Flavio Alfaro;13;1
1306;Jipijapa;13;6
1307;Junin;13;9
1308;Manta;13;14
1309;Montecristi;13;3
1310;Pajan;13;8
1311;Pichincha;13;2
1312;Rocafuerte;13;15
1313;Santa Ana;13;4
1314;Sucre;13;2
1315;Tosagua;13;9
1316;24 de Mayo;13;2
1317;Pedernales;13;4
1318;Olmedo;13;1
1319;Puerto Lopez;13;10
1320;Jama;13;10
1321;Jaramijo;13;1
1322;San Vicente;13;2
1401;Morona;14;14
1402;Gualaquiza;14;11
1403;Limon Indanza;14;9
1404;Palora;14;15
1405;Santiago;14;12
1406;Sucua;14;15
1407;Huamboya;14;2
1408;San Juan Bosco;14;1
1409;Taisha;14;12
1410;Logrono;14;9
1411;Pablo Sexto;14;8
1412;Tiwintza;14;5
1501;Tena;15;1
1502;Archidona;15;12
1503;El Chaco;15;3
1504;Quijos;15;11
1505;Carlos Julio Arosemena Tola;15;8
1601;Pastaza;16;5
1602;Mera;16;6
1603;Santa Clara;16;1
1604;Arajuno;16;1
1701;Quito;17;1
1702;Cayambe;17;3
1703;Mejia;17;1
1704;Pedro Moncayo;17;10
1705;Rimiñahui;17;5
1707;San Miguel de los Bancos;17;13
1708;Pedro Vicente Maldonado;17;12
1709;Puerto Quito;17;1
1801;Ambato;18;2
1802;Baños de Agua Santa;18;13
1803;Cevallos;18;15
1804;Mocha;18;15
1805;Patate;18;12
1806;Quero;18;14
1807;San Pedro de Pelileo;18;8
1808;Santiago de Pillaro;18;8
1809;Tisaleo;18;5
1901;Zamora;19;1
1902;Chinchipe;19;8
1903;Nangaritza;19;13
1904;Yacuambi;19;1
1905;Yantzaza;19;8
1906;El Pangui;19;10
1907;Centinela del Condor;19;2
1908;Palanda;19;15
1909;Paquisha;19;12
2001;San Cristobal;20;16
2002;Isabela;20;9
2003;Santa Cruz;20;9
2101;Lago Agrio;21;8
2102;Gonzalo Pizarro;21;8
2103;Putumayo;21;2
2104;Shushufindi;21;13
2105;Sucumbios;21;4
2106;Cascales;21;3
2107;Cuyabeno;21;15
2201;Francisco de Orellana;22;3
2202;Aguarico;22;11
2203;La Joya de los Sachas;22;6
2204;Loreto;22;4
2301;Santo Domingo;23;2
2302;La Concordia;23;1
2401;Santa Elena;24;4
2402;La Libertad;24;1
2403;Salinas;24;1
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
